!MOLECULE
OCS
!MOLECULAR WEIGHT
60.0
!NUMBER OF ENERGY LEVELS
99
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
 4233    93    47  4.1e-18 3.3e-18 1.7e-18 1.5e-18 1.6e-18 1.9e-18 1.7e-18 1.9e-18
 4234    93    48  5.8e-18 4.8e-18 2.5e-18 2.2e-18 2.5e-18 2.8e-18 2.5e-18 2.9e-18
 4235    93    49  8.3e-18 7.1e-18 3.8e-18 3.3e-18 3.7e-18 4.2e-18 3.9e-18 4.4e-18
 4236    93    50  1.2e-17 1.0e-17 5.6e-18 5.0e-18 5.5e-18 6.4e-18 5.8e-18 6.6e-18
 4237    93    51  1.7e-17 1.5e-17 8.4e-18 7.4e-18 8.3e-18 9.5e-18 8.7e-18 1.0e-17
 4238    93    52  2.5e-17 2.2e-17 1.3e-17 1.1e-17 1.2e-17 1.4e-17 1.3e-17 1.5e-17
 4239    93    53  3.5e-17 3.2e-17 1.9e-17 1.7e-17 1.9e-17 2.1e-17 2.0e-17 2.3e-17
 4240    93    54  5.1e-17 4.6e-17 2.8e-17 2.5e-17 2.8e-17 3.2e-17 3.0e-17 3.4e-17
 4241    93    55  7.2e-17 6.8e-17 4.2e-17 3.8e-17 4.2e-17 4.8e-17 4.5e-17 5.1e-17
 4242    93    56  1.0e-16 9.8e-17 6.2e-17 5.7e-17 6.3e-17 7.1e-17 6.7e-17 7.7e-17
 4243    93    57  1.5e-16 1.4e-16 9.2e-17 8.5e-17 9.4e-17 1.1e-16 1.0e-16 1.2e-16
 4244    93    58  2.1e-16 2.1e-16 1.4e-16 1.3e-16 1.4e-16 1.6e-16 1.5e-16 1.7e-16
 4245    93    59  3.0e-16 3.0e-16 2.1e-16 1.9e-16 2.1e-16 2.4e-16 2.3e-16 2.6e-16
 4246    93    60  4.3e-16 4.4e-16 3.0e-16 2.8e-16 3.2e-16 3.5e-16 3.4e-16 3.9e-16
 4247    93    61  6.2e-16 6.4e-16 4.5e-16 4.3e-16 4.7e-16 5.3e-16 5.1e-16 5.9e-16
 4248    93    62  8.9e-16 9.3e-16 6.7e-16 6.3e-16 7.0e-16 7.9e-16 7.7e-16 8.8e-16
 4249    93    63  1.3e-15 1.4e-15 1.0e-15 9.5e-16 1.0e-15 1.2e-15 1.1e-15 1.3e-15
 4250    93    64  1.8e-15 2.0e-15 1.5e-15 1.4e-15 1.6e-15 1.7e-15 1.7e-15 2.0e-15
 4251    93    65  2.6e-15 2.8e-15 2.2e-15 2.1e-15 2.3e-15 2.6e-15 2.6e-15 3.0e-15
 4252    93    66  3.7e-15 4.1e-15 3.2e-15 3.1e-15 3.5e-15 3.8e-15 3.9e-15 4.4e-15
 4253    93    67  5.3e-15 5.9e-15 4.8e-15 4.7e-15 5.2e-15 5.7e-15 5.8e-15 6.6e-15
 4254    93    68  7.5e-15 8.6e-15 7.1e-15 7.0e-15 7.7e-15 8.5e-15 8.6e-15 9.9e-15
 4255    93    69  1.1e-14 1.2e-14 1.0e-14 1.0e-14 1.1e-14 1.3e-14 1.3e-14 1.5e-14
 4256    93    70  1.5e-14 1.8e-14 1.6e-14 1.5e-14 1.7e-14 1.9e-14 1.9e-14 2.2e-14
 4257    93    71  2.2e-14 2.6e-14 2.3e-14 2.3e-14 2.5e-14 2.8e-14 2.9e-14 3.3e-14
 4258    93    72  3.1e-14 3.7e-14 3.4e-14 3.4e-14 3.7e-14 4.1e-14 4.3e-14 4.9e-14
 4259    93    73  4.4e-14 5.4e-14 5.0e-14 5.0e-14 5.5e-14 6.0e-14 6.3e-14 7.3e-14
 4260    93    74  6.2e-14 7.8e-14 7.4e-14 7.5e-14 8.2e-14 8.9e-14 9.4e-14 1.1e-13
 4261    93    75  8.8e-14 1.1e-13 1.1e-13 1.1e-13 1.2e-13 1.3e-13 1.4e-13 1.6e-13
 4262    93    76  1.2e-13 1.6e-13 1.6e-13 1.6e-13 1.8e-13 1.9e-13 2.1e-13 2.4e-13
 4263    93    77  1.8e-13 2.3e-13 2.3e-13 2.4e-13 2.6e-13 2.8e-13 3.0e-13 3.5e-13
 4264    93    78  2.5e-13 3.3e-13 3.4e-13 3.6e-13 3.9e-13 4.2e-13 4.5e-13 5.2e-13
 4265    93    79  3.5e-13 4.7e-13 5.0e-13 5.2e-13 5.7e-13 6.1e-13 6.6e-13 7.6e-13
 4266    93    80  5.0e-13 6.8e-13 7.3e-13 7.6e-13 8.3e-13 8.9e-13 9.7e-13 1.1e-12
 4267    93    81  1.1e-12 1.4e-12 1.5e-12 1.5e-12 1.6e-12 1.8e-12 2.0e-12 2.4e-12
 4268    93    82  2.7e-12 4.0e-12 4.8e-12 4.9e-12 5.2e-12 5.0e-12 5.0e-12 5.3e-12
 4269    93    83  2.0e-12 2.9e-12 3.4e-12 3.7e-12 4.0e-12 4.5e-12 5.4e-12 6.9e-12
 4270    93    84  2.9e-12 4.2e-12 4.9e-12 5.1e-12 5.2e-12 5.2e-12 5.1e-12 5.1e-12
 4271    93    85  3.2e-12 4.9e-12 6.3e-12 7.5e-12 8.5e-12 9.5e-12 1.3e-11 1.7e-11
 4272    93    86  3.7e-12 5.2e-12 6.1e-12 6.2e-12 6.7e-12 6.8e-12 6.7e-12 6.5e-12
 4273    93    87  6.3e-12 9.8e-12 1.4e-11 1.6e-11 1.8e-11 2.0e-11 2.6e-11 3.6e-11
 4274    93    88  5.9e-12 9.1e-12 1.2e-11 1.3e-11 1.4e-11 1.5e-11 1.6e-11 1.8e-11
 4275    93    89  2.1e-11 3.0e-11 3.9e-11 4.2e-11 4.5e-11 4.7e-11 5.8e-11 7.2e-11
 4276    93    90  9.1e-12 1.6e-11 2.6e-11 3.0e-11 3.4e-11 3.5e-11 4.1e-11 5.0e-11
 4277    93    91  5.2e-11 7.8e-11 1.0e-10 1.1e-10 1.2e-10 1.2e-10 1.4e-10 1.6e-10
 4278    93    92  2.9e-11 4.3e-11 5.6e-11 6.3e-11 6.6e-11 6.7e-11 7.5e-11 8.2e-11
 4279    94     1  2.5e-26 9.2e-27 1.5e-27 9.6e-28 1.1e-27 1.4e-27 9.3e-28 1.0e-27
 4280    94     2  8.0e-26 3.0e-26 4.9e-27 3.1e-27 3.6e-27 4.6e-27 3.0e-27 3.3e-27
 4281    94     3  1.5e-25 5.6e-26 9.5e-27 6.0e-27 6.9e-27 8.8e-27 5.9e-27 6.4e-27
 4282    94     4  2.5e-25 9.3e-26 1.6e-26 1.0e-26 1.2e-26 1.5e-26 1.0e-26 1.1e-26
 4283    94     5  3.9e-25 1.5e-25 2.6e-26 1.7e-26 2.0e-26 2.5e-26 1.7e-26 1.8e-26
 4284    94     6  6.0e-25 2.3e-25 4.2e-26 2.8e-26 3.2e-26 4.0e-26 2.7e-26 3.0e-26
 4285    94     7  9.1e-25 3.6e-25 6.7e-26 4.4e-26 5.1e-26 6.4e-26 4.4e-26 4.8e-26
 4286    94     8  1.4e-24 5.5e-25 1.1e-25 7.0e-26 8.0e-26 1.0e-25 6.9e-26 7.7e-26
 4287    94     9  2.0e-24 8.4e-25 1.7e-25 1.1e-25 1.3e-25 1.6e-25 1.1e-25 1.2e-25
 4288    94    10  3.0e-24 1.3e-24 2.6e-25 1.7e-25 2.0e-25 2.5e-25 1.7e-25 1.9e-25
 4289    94    11  4.5e-24 1.9e-24 4.0e-25 2.7e-25 3.1e-25 3.9e-25 2.7e-25 3.0e-25
 4290    94    12  6.7e-24 2.9e-24 6.2e-25 4.2e-25 4.8e-25 6.0e-25 4.2e-25 4.7e-25
 4291    94    13  9.9e-24 4.4e-24 9.5e-25 6.5e-25 7.5e-25 9.3e-25 6.6e-25 7.4e-25
 4292    94    14  1.5e-23 6.6e-24 1.5e-24 1.0e-24 1.2e-24 1.4e-24 1.0e-24 1.1e-24
 4293    94    15  2.1e-23 9.8e-24 2.2e-24 1.6e-24 1.8e-24 2.2e-24 1.6e-24 1.8e-24
 4294    94    16  3.1e-23 1.5e-23 3.4e-24 2.4e-24 2.7e-24 3.4e-24 2.5e-24 2.7e-24
 4295    94    17  4.6e-23 2.2e-23 5.2e-24 3.7e-24 4.2e-24 5.2e-24 3.8e-24 4.2e-24
 4296    94    18  6.7e-23 3.2e-23 8.0e-24 5.6e-24 6.4e-24 7.9e-24 5.9e-24 6.5e-24
 4297    94    19  9.7e-23 4.8e-23 1.2e-23 8.7e-24 9.9e-24 1.2e-23 9.0e-24 1.0e-23
 4298    94    20  1.4e-22 7.1e-23 1.9e-23 1.3e-23 1.5e-23 1.9e-23 1.4e-23 1.5e-23
 4299    94    21  2.1e-22 1.1e-22 2.8e-23 2.0e-23 2.3e-23 2.8e-23 2.1e-23 2.4e-23
 4300    94    22  3.0e-22 1.6e-22 4.2e-23 3.1e-23 3.5e-23 4.3e-23 3.3e-23 3.7e-23
 4301    94    23  4.3e-22 2.3e-22 6.4e-23 4.7e-23 5.4e-23 6.5e-23 5.0e-23 5.6e-23
 4302    94    24  6.3e-22 3.4e-22 9.7e-23 7.2e-23 8.2e-23 9.9e-23 7.6e-23 8.6e-23
 4303    94    25  9.1e-22 5.0e-22 1.5e-22 1.1e-22 1.2e-22 1.5e-22 1.2e-22 1.3e-22
 4304    94    26  1.3e-21 7.4e-22 2.2e-22 1.7e-22 1.9e-22 2.3e-22 1.8e-22 2.0e-22
 4305    94    27  1.9e-21 1.1e-21 3.4e-22 2.5e-22 2.9e-22 3.5e-22 2.7e-22 3.1e-22
 4306    94    28  2.8e-21 1.6e-21 5.1e-22 3.8e-22 4.4e-22 5.3e-22 4.1e-22 4.7e-22
 4307    94    29  4.0e-21 2.4e-21 7.6e-22 5.8e-22 6.6e-22 8.0e-22 6.3e-22 7.1e-22
 4308    94    30  5.8e-21 3.5e-21 1.1e-21 8.8e-22 1.0e-21 1.2e-21 9.6e-22 1.1e-21
 4309    94    31  8.3e-21 5.1e-21 1.7e-21 1.3e-21 1.5e-21 1.8e-21 1.5e-21 1.7e-21
 4310    94    32  1.2e-20 7.5e-21 2.6e-21 2.0e-21 2.3e-21 2.7e-21 2.2e-21 2.5e-21
 4311    94    33  1.7e-20 1.1e-20 3.9e-21 3.1e-21 3.5e-21 4.2e-21 3.4e-21 3.8e-21
 4312    94    34  2.5e-20 1.6e-20 5.9e-21 4.7e-21 5.3e-21 6.3e-21 5.1e-21 5.8e-21
 4313    94    35  3.6e-20 2.4e-20 8.9e-21 7.0e-21 8.0e-21 9.4e-21 7.8e-21 8.8e-21
 4314    94    36  5.2e-20 3.5e-20 1.3e-20 1.1e-20 1.2e-20 1.4e-20 1.2e-20 1.3e-20
 4315    94    37  7.4e-20 5.1e-20 2.0e-20 1.6e-20 1.8e-20 2.2e-20 1.8e-20 2.0e-20
 4316    94    38  1.1e-19 7.4e-20 3.0e-20 2.4e-20 2.7e-20 3.2e-20 2.7e-20 3.1e-20
 4317    94    39  1.5e-19 1.1e-19 4.5e-20 3.7e-20 4.1e-20 4.9e-20 4.1e-20 4.7e-20
 4318    94    40  2.2e-19 1.6e-19 6.7e-20 5.5e-20 6.2e-20 7.3e-20 6.2e-20 7.1e-20
 4319    94    41  3.2e-19 2.3e-19 1.0e-19 8.3e-20 9.4e-20 1.1e-19 9.4e-20 1.1e-19
 4320    94    42  4.6e-19 3.4e-19 1.5e-19 1.3e-19 1.4e-19 1.7e-19 1.4e-19 1.6e-19
 4321    94    43  6.6e-19 5.0e-19 2.3e-19 1.9e-19 2.1e-19 2.5e-19 2.2e-19 2.4e-19
 4322    94    44  9.4e-19 7.3e-19 3.4e-19 2.8e-19 3.2e-19 3.7e-19 3.3e-19 3.7e-19
 4323    94    45  1.4e-18 1.1e-18 5.1e-19 4.3e-19 4.8e-19 5.6e-19 4.9e-19 5.6e-19
 4324    94    46  2.0e-18 1.6e-18 7.6e-19 6.5e-19 7.3e-19 8.4e-19 7.5e-19 8.5e-19
 4325    94    47  2.8e-18 2.3e-18 1.1e-18 9.7e-19 1.1e-18 1.3e-18 1.1e-18 1.3e-18
 4326    94    48  4.0e-18 3.3e-18 1.7e-18 1.5e-18 1.6e-18 1.9e-18 1.7e-18 1.9e-18
 4327    94    49  5.8e-18 4.8e-18 2.5e-18 2.2e-18 2.5e-18 2.8e-18 2.6e-18 2.9e-18
 4328    94    50  8.3e-18 7.0e-18 3.8e-18 3.3e-18 3.7e-18 4.2e-18 3.9e-18 4.4e-18
 4329    94    51  1.2e-17 1.0e-17 5.6e-18 5.0e-18 5.6e-18 6.4e-18 5.8e-18 6.6e-18
 4330    94    52  1.7e-17 1.5e-17 8.4e-18 7.4e-18 8.3e-18 9.5e-18 8.8e-18 1.0e-17
 4331    94    53  2.4e-17 2.2e-17 1.3e-17 1.1e-17 1.2e-17 1.4e-17 1.3e-17 1.5e-17
 4332    94    54  3.5e-17 3.2e-17 1.9e-17 1.7e-17 1.9e-17 2.1e-17 2.0e-17 2.3e-17
 4333    94    55  5.0e-17 4.6e-17 2.8e-17 2.5e-17 2.8e-17 3.2e-17 3.0e-17 3.4e-17
 4334    94    56  7.1e-17 6.7e-17 4.2e-17 3.8e-17 4.2e-17 4.8e-17 4.5e-17 5.1e-17
 4335    94    57  1.0e-16 9.8e-17 6.2e-17 5.7e-17 6.3e-17 7.1e-17 6.8e-17 7.7e-17
 4336    94    58  1.5e-16 1.4e-16 9.2e-17 8.5e-17 9.4e-17 1.1e-16 1.0e-16 1.2e-16
 4337    94    59  2.1e-16 2.1e-16 1.4e-16 1.3e-16 1.4e-16 1.6e-16 1.5e-16 1.8e-16
 4338    94    60  3.0e-16 3.0e-16 2.0e-16 1.9e-16 2.1e-16 2.4e-16 2.3e-16 2.6e-16
 4339    94    61  4.3e-16 4.4e-16 3.0e-16 2.8e-16 3.2e-16 3.5e-16 3.4e-16 3.9e-16
 4340    94    62  6.1e-16 6.3e-16 4.5e-16 4.2e-16 4.7e-16 5.3e-16 5.1e-16 5.9e-16
 4341    94    63  8.8e-16 9.2e-16 6.7e-16 6.3e-16 7.0e-16 7.9e-16 7.7e-16 8.8e-16
 4342    94    64  1.2e-15 1.3e-15 9.9e-16 9.5e-16 1.0e-15 1.2e-15 1.2e-15 1.3e-15
 4343    94    65  1.8e-15 1.9e-15 1.5e-15 1.4e-15 1.6e-15 1.7e-15 1.7e-15 2.0e-15
 4344    94    66  2.6e-15 2.8e-15 2.2e-15 2.1e-15 2.3e-15 2.6e-15 2.6e-15 3.0e-15
 4345    94    67  3.6e-15 4.1e-15 3.2e-15 3.1e-15 3.5e-15 3.8e-15 3.9e-15 4.4e-15
 4346    94    68  5.2e-15 5.9e-15 4.8e-15 4.7e-15 5.2e-15 5.7e-15 5.8e-15 6.6e-15
 4347    94    69  7.4e-15 8.5e-15 7.1e-15 7.0e-15 7.7e-15 8.5e-15 8.6e-15 9.9e-15
 4348    94    70  1.0e-14 1.2e-14 1.0e-14 1.0e-14 1.1e-14 1.3e-14 1.3e-14 1.5e-14
 4349    94    71  1.5e-14 1.8e-14 1.6e-14 1.5e-14 1.7e-14 1.9e-14 1.9e-14 2.2e-14
 4350    94    72  2.1e-14 2.6e-14 2.3e-14 2.3e-14 2.5e-14 2.7e-14 2.9e-14 3.3e-14
 4351    94    73  3.0e-14 3.7e-14 3.4e-14 3.4e-14 3.7e-14 4.1e-14 4.3e-14 4.9e-14
 4352    94    74  4.3e-14 5.4e-14 5.0e-14 5.0e-14 5.5e-14 6.0e-14 6.3e-14 7.3e-14
 4353    94    75  6.1e-14 7.7e-14 7.3e-14 7.5e-14 8.2e-14 8.9e-14 9.4e-14 1.1e-13
 4354    94    76  8.7e-14 1.1e-13 1.1e-13 1.1e-13 1.2e-13 1.3e-13 1.4e-13 1.6e-13
 4355    94    77  1.2e-13 1.6e-13 1.6e-13 1.6e-13 1.8e-13 1.9e-13 2.1e-13 2.4e-13
 4356    94    78  1.7e-13 2.3e-13 2.3e-13 2.4e-13 2.6e-13 2.8e-13 3.0e-13 3.5e-13
 4357    94    79  2.5e-13 3.3e-13 3.4e-13 3.5e-13 3.9e-13 4.1e-13 4.5e-13 5.2e-13
 4358    94    80  3.5e-13 4.7e-13 5.0e-13 5.2e-13 5.7e-13 6.1e-13 6.6e-13 7.6e-13
 4359    94    81  4.9e-13 6.7e-13 7.3e-13 7.6e-13 8.3e-13 8.9e-13 9.7e-13 1.1e-12
 4360    94    82  1.1e-12 1.4e-12 1.5e-12 1.5e-12 1.6e-12 1.8e-12 2.0e-12 2.4e-12
 4361    94    83  2.6e-12 4.0e-12 4.8e-12 4.9e-12 5.2e-12 5.0e-12 5.0e-12 5.3e-12
 4362    94    84  1.9e-12 2.8e-12 3.3e-12 3.7e-12 4.0e-12 4.4e-12 5.4e-12 6.9e-12
 4363    94    85  2.9e-12 4.2e-12 4.9e-12 5.0e-12 5.2e-12 5.2e-12 5.1e-12 5.1e-12
 4364    94    86  3.1e-12 4.9e-12 6.3e-12 7.4e-12 8.4e-12 9.5e-12 1.3e-11 1.7e-11
 4365    94    87  3.6e-12 5.1e-12 6.1e-12 6.2e-12 6.7e-12 6.8e-12 6.7e-12 6.5e-12
 4366    94    88  6.2e-12 9.7e-12 1.4e-11 1.6e-11 1.8e-11 2.0e-11 2.6e-11 3.6e-11
 4367    94    89  5.8e-12 9.0e-12 1.2e-11 1.3e-11 1.4e-11 1.5e-11 1.6e-11 1.8e-11
 4368    94    90  2.0e-11 3.0e-11 3.9e-11 4.2e-11 4.5e-11 4.7e-11 5.8e-11 7.2e-11
 4369    94    91  8.9e-12 1.6e-11 2.6e-11 3.0e-11 3.4e-11 3.4e-11 4.1e-11 5.0e-11
 4370    94    92  5.1e-11 7.8e-11 1.0e-10 1.1e-10 1.2e-10 1.2e-10 1.4e-10 1.6e-10
 4371    94    93  2.8e-11 4.2e-11 5.6e-11 6.2e-11 6.5e-11 6.7e-11 7.4e-11 8.2e-11
 4372    95     1  1.7e-26 6.3e-27 1.0e-27 6.4e-28 7.3e-28 9.3e-28 6.2e-28 6.8e-28
 4373    95     2  5.5e-26 2.0e-26 3.3e-27 2.1e-27 2.4e-27 3.0e-27 2.0e-27 2.2e-27
 4374    95     3  1.0e-25 3.8e-26 6.3e-27 4.0e-27 4.6e-27 5.8e-27 3.9e-27 4.3e-27
 4375    95     4  1.7e-25 6.4e-26 1.1e-26 6.9e-27 7.9e-27 1.0e-26 6.7e-27 7.4e-27
 4376    95     5  2.7e-25 1.0e-25 1.8e-26 1.1e-26 1.3e-26 1.6e-26 1.1e-26 1.2e-26
 4377    95     6  4.1e-25 1.6e-25 2.8e-26 1.8e-26 2.1e-26 2.7e-26 1.8e-26 2.0e-26
 4378    95     7  6.2e-25 2.4e-25 4.5e-26 2.9e-26 3.4e-26 4.2e-26 2.9e-26 3.2e-26
 4379    95     8  9.4e-25 3.8e-25 7.1e-26 4.6e-26 5.3e-26 6.7e-26 4.6e-26 5.1e-26
 4380    95     9  1.4e-24 5.7e-25 1.1e-25 7.3e-26 8.4e-26 1.1e-25 7.3e-26 8.1e-26
 4381    95    10  2.1e-24 8.7e-25 1.7e-25 1.1e-25 1.3e-25 1.6e-25 1.1e-25 1.3e-25
 4382    95    11  3.1e-24 1.3e-24 2.7e-25 1.8e-25 2.0e-25 2.6e-25 1.8e-25 2.0e-25
 4383    95    12  4.6e-24 2.0e-24 4.1e-25 2.8e-25 3.2e-25 4.0e-25 2.8e-25 3.1e-25
 4384    95    13  6.8e-24 3.0e-24 6.4e-25 4.3e-25 4.9e-25 6.2e-25 4.4e-25 4.9e-25
 4385    95    14  1.0e-23 4.5e-24 9.8e-25 6.7e-25 7.7e-25 9.5e-25 6.8e-25 7.6e-25
 4386    95    15  1.5e-23 6.7e-24 1.5e-24 1.0e-24 1.2e-24 1.5e-24 1.1e-24 1.2e-24
 4387    95    16  2.2e-23 9.9e-24 2.3e-24 1.6e-24 1.8e-24 2.2e-24 1.6e-24 1.8e-24
 4388    95    17  3.1e-23 1.5e-23 3.5e-24 2.4e-24 2.8e-24 3.5e-24 2.5e-24 2.8e-24
 4389    95    18  4.6e-23 2.2e-23 5.3e-24 3.8e-24 4.3e-24 5.3e-24 3.9e-24 4.3e-24
 4390    95    19  6.7e-23 3.3e-23 8.1e-24 5.8e-24 6.6e-24 8.1e-24 6.0e-24 6.7e-24
 4391    95    20  9.7e-23 4.9e-23 1.2e-23 8.8e-24 1.0e-23 1.2e-23 9.2e-24 1.0e-23
 4392    95    21  1.4e-22 7.2e-23 1.9e-23 1.3e-23 1.5e-23 1.9e-23 1.4e-23 1.6e-23
 4393    95    22  2.1e-22 1.1e-22 2.8e-23 2.1e-23 2.3e-23 2.9e-23 2.2e-23 2.4e-23
 4394    95    23  3.0e-22 1.6e-22 4.3e-23 3.1e-23 3.6e-23 4.4e-23 3.3e-23 3.7e-23
 4395    95    24  4.3e-22 2.3e-22 6.5e-23 4.8e-23 5.4e-23 6.6e-23 5.1e-23 5.7e-23
 4396    95    25  6.3e-22 3.4e-22 9.8e-23 7.3e-23 8.3e-23 1.0e-22 7.8e-23 8.7e-23
 4397    95    26  9.1e-22 5.0e-22 1.5e-22 1.1e-22 1.3e-22 1.5e-22 1.2e-22 1.3e-22
 4398    95    27  1.3e-21 7.4e-22 2.2e-22 1.7e-22 1.9e-22 2.3e-22 1.8e-22 2.0e-22
 4399    95    28  1.9e-21 1.1e-21 3.4e-22 2.6e-22 2.9e-22 3.5e-22 2.8e-22 3.1e-22
 4400    95    29  2.7e-21 1.6e-21 5.1e-22 3.9e-22 4.4e-22 5.3e-22 4.2e-22 4.7e-22
 4401    95    30  4.0e-21 2.4e-21 7.7e-22 5.9e-22 6.7e-22 8.0e-22 6.4e-22 7.2e-22
 4402    95    31  5.7e-21 3.5e-21 1.2e-21 8.9e-22 1.0e-21 1.2e-21 9.7e-22 1.1e-21
 4403    95    32  8.3e-21 5.1e-21 1.7e-21 1.4e-21 1.5e-21 1.8e-21 1.5e-21 1.7e-21
 4404    95    33  1.2e-20 7.5e-21 2.6e-21 2.0e-21 2.3e-21 2.8e-21 2.2e-21 2.5e-21
 4405    95    34  1.7e-20 1.1e-20 3.9e-21 3.1e-21 3.5e-21 4.2e-21 3.4e-21 3.8e-21
 4406    95    35  2.5e-20 1.6e-20 5.9e-21 4.7e-21 5.3e-21 6.3e-21 5.2e-21 5.9e-21
 4407    95    36  3.6e-20 2.4e-20 8.9e-21 7.1e-21 8.0e-21 9.5e-21 7.9e-21 8.9e-21
 4408    95    37  5.1e-20 3.5e-20 1.3e-20 1.1e-20 1.2e-20 1.4e-20 1.2e-20 1.3e-20
 4409    95    38  7.4e-20 5.0e-20 2.0e-20 1.6e-20 1.8e-20 2.2e-20 1.8e-20 2.1e-20
 4410    95    39  1.1e-19 7.4e-20 3.0e-20 2.4e-20 2.7e-20 3.3e-20 2.7e-20 3.1e-20
 4411    95    40  1.5e-19 1.1e-19 4.5e-20 3.7e-20 4.1e-20 4.9e-20 4.1e-20 4.7e-20
 4412    95    41  2.2e-19 1.6e-19 6.7e-20 5.5e-20 6.3e-20 7.3e-20 6.3e-20 7.1e-20
 4413    95    42  3.2e-19 2.3e-19 1.0e-19 8.3e-20 9.4e-20 1.1e-19 9.5e-20 1.1e-19
 4414    95    43  4.5e-19 3.4e-19 1.5e-19 1.3e-19 1.4e-19 1.7e-19 1.4e-19 1.6e-19
 4415    95    44  6.5e-19 4.9e-19 2.3e-19 1.9e-19 2.1e-19 2.5e-19 2.2e-19 2.5e-19
 4416    95    45  9.3e-19 7.2e-19 3.4e-19 2.8e-19 3.2e-19 3.7e-19 3.3e-19 3.7e-19
 4417    95    46  1.3e-18 1.1e-18 5.1e-19 4.3e-19 4.8e-19 5.6e-19 5.0e-19 5.6e-19
 4418    95    47  1.9e-18 1.5e-18 7.6e-19 6.5e-19 7.3e-19 8.4e-19 7.5e-19 8.5e-19
 4419    95    48  2.8e-18 2.2e-18 1.1e-18 9.7e-19 1.1e-18 1.3e-18 1.1e-18 1.3e-18
 4420    95    49  4.0e-18 3.3e-18 1.7e-18 1.5e-18 1.6e-18 1.9e-18 1.7e-18 1.9e-18
 4421    95    50  5.7e-18 4.8e-18 2.5e-18 2.2e-18 2.5e-18 2.8e-18 2.6e-18 2.9e-18
 4422    95    51  8.2e-18 7.0e-18 3.8e-18 3.3e-18 3.7e-18 4.3e-18 3.9e-18 4.4e-18
 4423    95    52  1.2e-17 1.0e-17 5.6e-18 5.0e-18 5.6e-18 6.4e-18 5.8e-18 6.7e-18
 4424    95    53  1.7e-17 1.5e-17 8.4e-18 7.4e-18 8.3e-18 9.5e-18 8.8e-18 1.0e-17
 4425    95    54  2.4e-17 2.2e-17 1.2e-17 1.1e-17 1.2e-17 1.4e-17 1.3e-17 1.5e-17
 4426    95    55  3.4e-17 3.2e-17 1.9e-17 1.7e-17 1.9e-17 2.1e-17 2.0e-17 2.3e-17
 4427    95    56  4.9e-17 4.6e-17 2.8e-17 2.5e-17 2.8e-17 3.2e-17 3.0e-17 3.4e-17
 4428    95    57  7.0e-17 6.7e-17 4.2e-17 3.8e-17 4.2e-17 4.8e-17 4.5e-17 5.1e-17
 4429    95    58  1.0e-16 9.7e-17 6.2e-17 5.6e-17 6.3e-17 7.1e-17 6.8e-17 7.8e-17
 4430    95    59  1.4e-16 1.4e-16 9.2e-17 8.5e-17 9.4e-17 1.1e-16 1.0e-16 1.2e-16
 4431    95    60  2.1e-16 2.1e-16 1.4e-16 1.3e-16 1.4e-16 1.6e-16 1.5e-16 1.8e-16
 4432    95    61  3.0e-16 3.0e-16 2.0e-16 1.9e-16 2.1e-16 2.4e-16 2.3e-16 2.6e-16
 4433    95    62  4.2e-16 4.3e-16 3.0e-16 2.8e-16 3.1e-16 3.5e-16 3.4e-16 3.9e-16
 4434    95    63  6.0e-16 6.3e-16 4.5e-16 4.2e-16 4.7e-16 5.3e-16 5.2e-16 5.9e-16
 4435    95    64  8.6e-16 9.1e-16 6.7e-16 6.3e-16 7.0e-16 7.9e-16 7.7e-16 8.9e-16
 4436    95    65  1.2e-15 1.3e-15 9.9e-16 9.4e-16 1.0e-15 1.2e-15 1.2e-15 1.3e-15
 4437    95    66  1.8e-15 1.9e-15 1.5e-15 1.4e-15 1.6e-15 1.7e-15 1.7e-15 2.0e-15
 4438    95    67  2.5e-15 2.8e-15 2.2e-15 2.1e-15 2.3e-15 2.6e-15 2.6e-15 3.0e-15
 4439    95    68  3.6e-15 4.0e-15 3.2e-15 3.1e-15 3.5e-15 3.8e-15 3.9e-15 4.5e-15
 4440    95    69  5.1e-15 5.8e-15 4.8e-15 4.7e-15 5.2e-15 5.7e-15 5.8e-15 6.7e-15
 4441    95    70  7.3e-15 8.5e-15 7.1e-15 6.9e-15 7.7e-15 8.5e-15 8.6e-15 9.9e-15
 4442    95    71  1.0e-14 1.2e-14 1.0e-14 1.0e-14 1.1e-14 1.3e-14 1.3e-14 1.5e-14
 4443    95    72  1.5e-14 1.8e-14 1.6e-14 1.5e-14 1.7e-14 1.9e-14 1.9e-14 2.2e-14
 4444    95    73  2.1e-14 2.5e-14 2.3e-14 2.3e-14 2.5e-14 2.7e-14 2.9e-14 3.3e-14
 4445    95    74  3.0e-14 3.7e-14 3.4e-14 3.4e-14 3.7e-14 4.1e-14 4.3e-14 4.9e-14
 4446    95    75  4.3e-14 5.3e-14 5.0e-14 5.0e-14 5.5e-14 6.0e-14 6.3e-14 7.3e-14
 4447    95    76  6.0e-14 7.6e-14 7.3e-14 7.4e-14 8.2e-14 8.9e-14 9.4e-14 1.1e-13
 4448    95    77  8.6e-14 1.1e-13 1.1e-13 1.1e-13 1.2e-13 1.3e-13 1.4e-13 1.6e-13
 4449    95    78  1.2e-13 1.6e-13 1.6e-13 1.6e-13 1.8e-13 1.9e-13 2.1e-13 2.4e-13
