Species_Name,Species_formula,Phase,Image,DfH_0K,DfH_298K,Uncertainty,Units,Relative_Molecular_Mass,ATcT_ID
Hydrogen bromide,HBr,"aq, 75 H2O",,,-119.36,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*825
Hydrogen iodide,HI,"aq, 10 H2O",,,-53.37,0.17,kJ/mol,127.912410 ±0.000076,10034-85-2*815
Chlorine atom heptacation,[Cl]+7,g,,39520.0,39522.0,11.0,kJ/mol,35.44886 ±0.00090,22537-27-5*0
Ammonium hydroxide,NH4OH,"aq, 40 H2O",,,-366.31,0.41,kJ/mol,35.04584 ±0.00047,1336-21-6*821
Propylidene,CH3CH2CH,"g, singlet TS",,355.7,340.8,2.0,kJ/mol,42.0797 ±0.0024,6700-78-3*2
Hydrogen fluoride,HF,"aq, 500 H2O",,,-322.36,0.1,kJ/mol,20.006343 ±0.000070,7664-39-3*833
Acetic acid,CH3C(O)OH,"aq, 2 H2O",,,-482.86,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*803
Hydrogen fluoride,HF,"aq, 75 H2O",,,-321.99,0.11,kJ/mol,20.006343 ±0.000070,7664-39-3*825
Ammonium hydroxide,NH4OH,"aq, 8 H2O",,,-365.92,0.41,kJ/mol,35.04584 ±0.00047,1336-21-6*813
N-Methylenemethaniminium,[CH2NCH2]+,g,,904.4,893.4,3.1,kJ/mol,42.0594 ±0.0016,88333-01-1*0
Hydrogen iodide,HI,"aq, 7000 H2O",,,-56.665,0.09,kJ/mol,127.912410 ±0.000076,10034-85-2*846
N-Methylenemethaniminium,[CH2NCH2]+,"g, triplet",,1157.2,1147.3,4.0,kJ/mol,42.0594 ±0.0016,88333-01-1*1
"1,2-Dichloroethene",CHClCHCl,g,,3.81,-1.51,0.55,kJ/mol,96.9427 ±0.0024,540-59-0*0
Peroxynitrous acid cation,[HOONO]+,g,,923.8,919.2,2.0,kJ/mol,63.01233 ±0.00091,*14691-52-2*0
Hydrogen bromide,HBr,"aq, 555.1 H2O",,,-119.99,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*895
1-Cyanoethylidene,CH3CCN,g,,437.6,433.8,1.4,kJ/mol,53.0627 ±0.0024,498544-34-6*0
Hydrogen iodide,HI,"aq, 10000 H2O",,,-56.69,0.09,kJ/mol,127.912410 ±0.000076,10034-85-2*850
Oxirene,O(CHCH),g,,272.43,270.27,0.6,kJ/mol,42.0367 ±0.0016,157-18-6*0
N-Methylidynemethanaminium,[CH3NCH]+,g,,881.1,870.3,3.0,kJ/mol,42.0594 ±0.0016,64709-60-0*0
2-Hydroperoxyethyl,CH2CH2OOH,g,,64.7,51.4,1.3,kJ/mol,61.0599 ±0.0017,126898-97-3*0
2-Hydroperoxyethyl,CH2CH2OOH,"g, gauche",,64.7,51.0,1.3,kJ/mol,61.0599 ±0.0017,126898-97-3*3
2-Hydroperoxyethyl,CH2CH2OOH,"g, anti",,65.2,51.8,2.2,kJ/mol,61.0599 ±0.0017,126898-97-3*1
Trihydrogen,HHH,"g, TS",,254.5,250.7,1.2,kJ/mol,3.02382 ±0.00021,12184-91-7*200
3-Imino-2-propen-1-ylidene,CHCHCNH,g,,530.7,526.4,1.2,kJ/mol,53.0627 ±0.0024,916765-05-4*0
Hydrogen fluoride,HF,"aq, 3000 H2O",,,-323.83,0.12,kJ/mol,20.006343 ±0.000070,7664-39-3*842
3-Imino-2-propen-1-ylidene,CHCHCNH,"g, triplet",,571.9,567.1,1.6,kJ/mol,53.0627 ±0.0024,916765-05-4*2
Dioxodiazoxane,ONONO,g,,93.0,88.2,1.3,kJ/mol,76.01168 ±0.00091,122413-35-8*0
2-Hydroperoxyethyl,CH2CH2OOH,"g, gauche-anti",,65.7,51.7,2.2,kJ/mol,61.0599 ±0.0017,126898-97-3*31
Dimethyl carbonate,C(O)(OCH3)2,"g, cis-trans",,-537.1,-557.8,1.8,kJ/mol,90.0779 ±0.0026,616-38-6*2
2-Hydroperoxyethyl,CH2CH2OOH,"g, anti-syn",,65.7,52.1,2.2,kJ/mol,61.0599 ±0.0017,126898-97-3*12
2-(Methylidyneamino)ethenyl,CHCHNCH,g,,600.7,596.4,1.2,kJ/mol,53.0627 ±0.0024,123416-74-0*0
Hydrogen iodide,HI,"aq, 100 H2O",,,-56.041,0.097,kJ/mol,127.912410 ±0.000076,10034-85-2*828
2-(Methylidyneamino)ethenyl,CHCHNCH,"g, triplet",,634.5,630.5,1.6,kJ/mol,53.0627 ±0.0024,123416-74-0*2
Ethenyldioxy,CH2CHOO,g,,118.41,109.51,0.99,kJ/mol,59.0440 ±0.0017,88181-72-0*0
Acetic acid,CH3C(O)OH,"aq, 2.5 H2O",,,-482.95,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*804
(Methylimino)methyl,CH3NCH,g,,278.0,267.9,1.1,kJ/mol,42.0599 ±0.0016,117928-23-1*0
Oxoniumyl ion,[H2O]+,"g, para",,978.744,975.593,0.024,kJ/mol,18.01473 ±0.00033,56583-62-1*2
Ethenyldioxy,CH2CHOO,"g, syn",,122.6,112.9,2.0,kJ/mol,59.0440 ±0.0017,88181-72-0*2
(Methylimino)methyl,CH3NCH,"g, cis",,297.1,287.1,2.0,kJ/mol,42.0599 ±0.0016,117928-23-1*2
(Methylimino)methanide,[CH3NCH]-,g,,223.0,212.2,3.2,kJ/mol,42.0604 ±0.0016,*64709-60-0*0
Hydrogen iodide,HI,"aq, 20000 H2O",,,-56.728,0.09,kJ/mol,127.912410 ±0.000076,10034-85-2*852
Hydrogen bromide,HBr,"aq, 50000 H2O",,,-120.43,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*855
Hydrogen peroxide,HOOH,aq,,,-190.72,0.25,kJ/mol,34.01468 ±0.00062,7722-84-1*800
Cyanomethylium,[CH2CN]+,g,,1256.23,1253.59,0.61,kJ/mol,40.0435 ±0.0016,34430-18-7*0
Dichlorovinylidene,CCCl2,g,,424.4,427.6,3.0,kJ/mol,94.9268 ±0.0024,20394-25-6*0
Chlorovinylidene,CCHCl,g,,429.3,431.0,2.9,kJ/mol,60.4820 ±0.0018,70277-82-6*0
2-Cyanovinyl,CHCHCN,g,,447.86,445.45,0.98,kJ/mol,52.0547 ±0.0024,189141-20-6*0
2-Cyanovinylium,[CHCHCN]+,"g, triplet",,1517.3,1515.2,1.8,kJ/mol,52.0542 ±0.0024,85398-67-0*2
2-Cyanovinyl anion,[CHCHCN]-,g,,263.8,261.5,1.8,kJ/mol,52.0553 ±0.0024,*85398-67-0*0
Dichlorine cation,[Cl2]+,g,,1108.307,1108.286,0.0062,kJ/mol,70.9049 ±0.0018,12595-90-3*0
Hydrogen chloride,HCl,"aq, 900 H2O",,,-166.541,0.023,kJ/mol,36.46064 ±0.00090,7647-01-0*838
2-Isocyanovinyl,CHCHNC,g,,543.3,541.8,1.7,kJ/mol,52.0547 ±0.0024,225798-14-1*0
(Methylimino)methanide,[CH3NCH]-,"g, cis",,236.6,225.7,3.6,kJ/mol,42.0604 ±0.0016,*64709-60-0*2
Hydrogen chloride,HCl,"aq, 2000 H2O",,,-166.68,0.023,kJ/mol,36.46064 ±0.00090,7647-01-0*841
Cyanomethyliumyl,[HCCN]+,g,,1506.5,1508.0,2.3,kJ/mol,39.0355 ±0.0016,34447-38-6*0
Cyanomethylene anion,[HCCN]-,g,,286.3,286.8,1.5,kJ/mol,39.0366 ±0.0016,12373-24-9*0
Cyanomethylene,HCCN,g,,479.7,483.0,1.1,kJ/mol,39.0361 ±0.0016,2612-62-6*0
Peroxynitrous acid cation,[(HOO)(NO)]+,"g, 2A""",,923.8,919.2,2.0,kJ/mol,63.01233 ±0.00091,*14691-52-2*1
Hydrogen iodide,HI,"aq, 200 H2O",,,-56.192,0.097,kJ/mol,127.912410 ±0.000076,10034-85-2*830
Isocyanomethyliumyl,[HCNC]+,g,,1506.7,1508.6,3.2,kJ/mol,39.0355 ±0.0016,99045-54-2*0
Isocyanomethylene anion,[HCNC]-,g,,401.4,402.1,2.0,kJ/mol,39.0366 ±0.0016,144141-01-5*0
Isocyanomethylene,HCNC,g,,583.1,585.4,1.6,kJ/mol,39.0361 ±0.0016,78694-65-2*0
Methyl hydrocarbonate,C(O)(OH)OCH3,"g, cis-trans",,-571.8,-587.2,1.9,kJ/mol,76.0514 ±0.0019,7456-87-3*2
"3-Oxo-1,2-propadien-1-ylium-1-yl",[CCCO]+,g,,1380.4,1385.7,3.8,kJ/mol,52.0310 ±0.0024,151455-13-9*0
"3-Oxo-1,2-propadienylidene anion",[CCCO]-,g,,224.4,230.2,3.5,kJ/mol,52.0320 ±0.0024,109292-50-4*0
Hydrogen iodide,HI,"aq, 9 H2O",,,-52.89,0.16,kJ/mol,127.912410 ±0.000076,10034-85-2*814
1-Aminoethenylium,[CH2CNH2]+,g,,900.0,889.2,3.0,kJ/mol,42.0594 ±0.0016,*139597-26-5*0
Chlorine pentafluoride anion,[FCl(F)(F)(F)F]-,g,,-619.1,-622.6,4.3,kJ/mol,130.44526 ±0.00090,184851-42-1*0
Tetraiodomethane,CI4,"cr, monoclinic",,,238.0,10.0,kJ/mol,519.62858 ±0.00081,507-25-5*500
Cyanic acid cation,[HOCN]+,g,,1135.8,1133.2,2.9,kJ/mol,43.02423 ±0.00086,59780-31-3*0
Ammonium hydroxide,NH4OH,"aq, 2.5 H2O",,,-364.92,0.41,kJ/mol,35.04584 ±0.00047,1336-21-6*804
Methyl hydrocarbonate,C(O)(OH)OCH3,"g, trans-cis",,-562.8,-578.3,1.9,kJ/mol,76.0514 ±0.0019,7456-87-3*3
1-Aminoethenide,[CH2CNH2]-,g,,216.0,205.2,3.2,kJ/mol,42.0604 ±0.0016,139597-26-5*0
Nitrogen atom,N,"g, doublet",,700.588,702.491,0.03,kJ/mol,14.006740 ±0.000070,17778-88-0*2
Acetic acid,CH3C(O)OH,"aq, 3 H2O",,,-483.03,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*805
Methyl hydrocarbonate,C(O)(OH)OCH3,"g, trans-trans",,-532.5,-547.6,2.0,kJ/mol,76.0514 ±0.0019,7456-87-3*4
"1,3-Cyclobutadiene cation",[CH(CHCHCH)]+,g,,1215.6,1207.3,3.0,kJ/mol,52.0740 ±0.0032,34531-09-4*0
Peroxynitrous acid cation,[(HOO)(NO)]+,"g, trans, trans 2A""",,925.4,920.3,2.6,kJ/mol,63.01233 ±0.00091,*14691-52-2*12
Fluoromethane cation,[CH3F]+,g,,981.82,974.32,0.62,kJ/mol,34.03237 ±0.00083,59122-96-2*0
2-Methyl-2-cyclopropen-1-ylidene,CH3C(CHC),g,,448.1,441.9,1.2,kJ/mol,52.0746 ±0.0032,185841-59-2*0
2-Methyl-2-cyclopropen-1-ylidene,CH3C(CHC),"g, triplet",,670.7,664.7,2.8,kJ/mol,52.0746 ±0.0032,185841-59-2*1
Fluoromethane,CH3F,l,,,-251.65,0.25,kJ/mol,34.03292 ±0.00083,593-53-3*590
Methyl hydrocarbonate,C(O)(OH)OCH3,"cr,l",,,-629.1,1.4,kJ/mol,76.0514 ±0.0019,7456-87-3*500
Oxiranylidene,CH2(CO),g,,213.5,209.2,1.4,kJ/mol,42.0367 ±0.0016,50983-85-2*0
Chloromethane,CH3Cl,l,,-106.44,-102.48,0.17,kJ/mol,50.4872 ±0.0012,74-87-3*590
Bromomethane cation,[CH3Br]+,g,,996.66,981.74,0.2,kJ/mol,94.9380 ±0.0013,12538-70-4*0
Cyanogen iodide cation,[ICN]+,g,,1271.3,1271.2,1.7,kJ/mol,152.92136 ±0.00080,34749-78-5*0
Vinylvinylidene,CH2CHCHC,g,,494.2,488.8,1.7,kJ/mol,52.0746 ±0.0032,148759-16-4*0
Vinylvinylidene,CH2CHCHC,"g, triplet",,690.5,684.7,2.6,kJ/mol,52.0746 ±0.0032,148759-16-4*1
Acetic acid,CH3C(O)OH,"aq, 4 H2O",,,-483.14,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*807
Vinylvinylidene,CH2CHCHC,"g, triplet, cis",,695.5,689.0,3.3,kJ/mol,52.0746 ±0.0032,148759-16-4*12
Vinylvinylidene cation,[CH2CHCHC]+,g,,1429.9,1424.6,2.0,kJ/mol,52.0740 ±0.0032,161054-20-2*0
Vinylvinylidene cation,[CH2CHCHC]+,"g, cis",,1437.9,1432.2,2.7,kJ/mol,52.0740 ±0.0032,161054-20-2*2
Vinylvinylidene anion,[CH2CHCHC]-,g,,405.8,399.0,2.0,kJ/mol,52.0751 ±0.0032,167386-49-4*0
Vinylvinylidene anion,[CH2CHCHC]-,"g, cis",,423.3,416.7,2.7,kJ/mol,52.0751 ±0.0032,167386-49-4*2
Ketene,CH2CO,"g, ortho singlet",,-45.22,-48.4,0.11,kJ/mol,42.0367 ±0.0016,463-51-4*22
Oxirene,O(CHCH),"g, triplet",,387.7,384.4,1.3,kJ/mol,42.0367 ±0.0016,157-18-6*1
"1,2-Butadien-1-ylidene",CH3CHCC,g,,511.8,506.3,2.0,kJ/mol,52.0746 ±0.0032,119908-55-3*0
"1,2-Butadien-1-ylidene",CH3CHCC,"g, triplet",,651.7,646.3,3.7,kJ/mol,52.0746 ±0.0032,119908-55-3*1
Formic acid cation,[HC(O)OH]+,g,,721.99,715.46,0.24,kJ/mol,46.0248 ±0.0010,50614-05-6*0
Formic acid anion,[HC(O)OH]-,g,,-256.1,-262.3,1.8,kJ/mol,46.0259 ±0.0010,19066-82-1*0
Iodomethane cation,[CH3I]+,g,,944.81,935.42,0.16,kJ/mol,141.93844 ±0.00083,12538-72-6*0
Nitric acid,HON(O)O,"aq, 4 H2O",,,-200.26,0.18,kJ/mol,63.01288 ±0.00091,7697-37-2*807
Fluoroform,CHF3,l,,,-704.69,0.42,kJ/mol,70.01385 ±0.00080,75-46-7*590
[1.1.1]Propellane,(CH2)3(CC),g,,378.6,361.0,1.5,kJ/mol,66.1011 ±0.0040,35634-10-7*0
Hydrogen bromide,HBr,"aq, 100000 H2O",,,-120.43,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*861
Peroxynitrous acid cation,[(HOO)(NO)]+,"g, trans, cis 2A""",,948.9,944.2,2.8,kJ/mol,63.01233 ±0.00091,*14691-52-2*13
Nitrosyl nitrite anion,[ONONO]-,g,,-103.0,-106.1,2.8,kJ/mol,76.01223 ±0.00091,*122413-35-8*0
"1,2,3-Butatrien-1-ylium",[CH2CCCH]+,g,,1271.9,1270.1,1.1,kJ/mol,51.0661 ±0.0032,81932-79-8*0
Nitric oxide,NO,"aq, undissoc",,,79.238,0.08,kJ/mol,30.00614 ±0.00031,10102-43-9*1000
"5-Ethenyl-1,3-cyclopentadiene",CH2CHCH(CHCHCHCH),g,,237.2,216.3,1.4,kJ/mol,92.1384 ±0.0056,29647-85-6*0
Acetic acid,CH3C(O)OH,"aq, 4.5 H2O",,,-483.18,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*808
Fluoroimidogen,NF,g,,232.64,232.64,0.8,kJ/mol,33.005143 ±0.000070,13967-06-1*0
Peroxynitrous acid cation,[HOONO]+,"g, 2A'",,1083.0,1075.5,2.7,kJ/mol,63.01233 ±0.00091,*14691-52-2*2
2-Aminoethenyl,CHCHNH2,g,,319.8,310.2,1.3,kJ/mol,42.0599 ±0.0016,176964-54-8*0
1-Buten-3-yn-1-yl,HCCCHCH,g,,547.37,544.86,0.84,kJ/mol,51.0666 ±0.0032,2810-61-9*0
1-Buten-3-ynylium,[HCCCHCH]+,g,,1482.4,1480.3,1.4,kJ/mol,51.0661 ±0.0032,84654-85-3*0
But-1-en-3-yn-1-ide,[HCCCHCH]-,g,,419.8,419.2,1.2,kJ/mol,51.0672 ±0.0032,119611-65-3*0
Hydrogen iodide,HI,"aq, 30 H2O",,,-55.51,0.11,kJ/mol,127.912410 ±0.000076,10034-85-2*820
Iodotrifluoromethane cation,[CF3I]+,g,,412.8,407.5,2.6,kJ/mol,195.90983 ±0.00080,64626-54-6*0
Formate,[HC(O)O]-,aq,,,-425.45,0.45,kJ/mol,45.0180 ±0.0010,71-47-6*800
Hypoiodous acid,HOI,aq,,,-116.3,5.4,kJ/mol,143.91181 ±0.00031,14332-21-9*800
Trihydrogen,H(HH),"g, TS",,477.4,474.7,2.3,kJ/mol,3.02382 ±0.00021,12184-91-7*201
3-Buten-1-ynylium,[CH2CHCC]+,g,,1572.7,1570.3,1.7,kJ/mol,51.0661 ±0.0032,103928-84-3*0
But-3-en-1-yn-1-ide,[CH2CHCC]-,g,,326.8,323.7,1.3,kJ/mol,51.0672 ±0.0032,58870-47-6*0
Hydrogen iodide,HI,"aq, 50000 H2O",,,-56.761,0.09,kJ/mol,127.912410 ±0.000076,10034-85-2*855
"5-Ethenyl-1,3-cyclopentadiene",CH2CHCH(CHCHCHCH),"g, gauche",,242.1,220.2,2.2,kJ/mol,92.1384 ±0.0056,29647-85-6*2
Ethynylamidogen anion,[HCCNH]-,g,,233.7,230.5,3.2,kJ/mol,40.0446 ±0.0016,64066-03-1*0
Hydrogen iodide,HI,"aq, 700 H2O",,,-56.41,0.09,kJ/mol,127.912410 ±0.000076,10034-85-2*835
3-Methylene-1-cyclopropen-1-ylium,[CH2C(CHC)]+,g,,1398.8,1395.5,1.7,kJ/mol,51.0661 ±0.0032,117469-28-0*0
Hydrogen iodide,HI,"aq, 7 H2O",,,-51.301,0.099,kJ/mol,127.912410 ±0.000076,10034-85-2*812
Formic acid,HC(O)OH,"aq, 0.25 H2O",,,-424.91,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*924
2-Aminoethenylium,[CHCHNH2]+,"g, triplet",,1110.6,1099.9,2.4,kJ/mol,42.0594 ±0.0016,64724-21-6*1
2-Cyclopropen-1-ylidenemethylium,[CHC(CHCH)]+,g,,1346.5,1343.9,1.8,kJ/mol,51.0661 ±0.0032,112936-36-4*0
2-Aminoethenyl anion,[CHCHNH2]-,g,,230.2,219.4,2.6,kJ/mol,42.0604 ±0.0016,*64724-21-6*0
Formic acid,HC(O)OH,"aq, 0.5 H2O",,,-425.13,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*923
Hydrogen fluoride,HF,"aq, 5000 H2O",,,-324.43,0.14,kJ/mol,20.006343 ±0.000070,7664-39-3*844
Acetic acid,CH3C(O)OH,"aq, 5 H2O",,,-483.21,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*809
"1,3-Cyclobutadien-1-ylium",[C(CHCHCH)]+,g,,1388.4,1383.4,1.8,kJ/mol,51.0661 ±0.0032,81913-77-1*0
Ethylimidogen anion,[CH3CH2N]-,g,,277.3,263.4,3.6,kJ/mol,43.0684 ±0.0016,82539-33-1*0
Hydrogen chloride,HCl,"aq, 50 H2O",,,-165.186,0.023,kJ/mol,36.46064 ±0.00090,7647-01-0*822
Trichlorine cation,[Cl3]+,"g, triplet",,1196.6,1197.2,3.2,kJ/mol,106.3576 ±0.0027,33088-85-6*1
Cyclobutenide,[CH2(CHCHCH)]-,g,,320.4,307.9,3.2,kJ/mol,53.0830 ±0.0032,60211-42-9*0
Formic acid,HC(O)OH,"aq, 1 H2O",,,-425.4,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*801
Ethylimidogen cation,[CH3CH2N]+,"g, quartet",,1394.6,1381.4,3.6,kJ/mol,43.0673 ±0.0016,*82539-33-1*1
Water,H2O,"cr, l, eq.press.",,-286.276,-285.804,0.022,kJ/mol,18.01528 ±0.00033,7732-18-5*499
Formic acid,HC(O)OH,"aq, 1.5 H2O",,,-425.5,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*802
Phenylperoxy cation,[C6H5OO]+,g,,1019.1,1002.0,3.1,kJ/mol,109.1022 ±0.0049,956036-17-2*0
Phenylperoxy anion,[C6H5OO]-,g,,-38.8,-55.7,3.3,kJ/mol,109.1032 ±0.0049,*956036-17-2*0
Formic acid,HC(O)OH,"aq, 2 H2O",,,-425.47,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*803
1-Aziridinylium,[N(CH2CH2)]+,"g, triplet",,1265.9,1254.2,3.1,kJ/mol,42.0594 ±0.0016,91127-35-4*1
1-Aziridinide,[N(CH2CH2)]-,g,,244.2,231.8,3.3,kJ/mol,42.0604 ±0.0016,1358579-49-3*0
"2-(Cyclopenta-2,4-dien-1-ylidene)ethan-1-ide",[CH2CHC(CHCHCHCH)]-,g,,132.5,114.5,3.4,kJ/mol,91.1310 ±0.0056,405519-46-2*0
Chlorine trifluoride anion,[FCl(F)F]-,g,,-480.4,-481.9,3.5,kJ/mol,92.44846 ±0.00090,184289-50-7*0
Fulvene cation,[CH2C(CHCHCHCH)]+,g,,1043.6,1027.9,2.7,kJ/mol,78.1113 ±0.0048,34504-75-1*0
Fulvene anion,[CH2C(CHCHCHCH)]-,g,,191.4,176.4,4.0,kJ/mol,78.1124 ±0.0048,34504-63-7*0
Diazenide,[NNH]-,g,,175.7,176.8,1.6,kJ/mol,29.02197 ±0.00016,71004-29-0*0
Formic acid,HC(O)OH,"aq, 2.5 H2O",,,-425.43,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*804
"cis-1,3,5-Hexatriene",CH2CHCHCHCHCH2,"g, cis",,190.6,170.6,2.9,kJ/mol,80.1277 ±0.0048,2612-46-6*0
Formic acid,HC(O)OH,"aq, 3 H2O",,,-425.39,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*805
Vinylcyclopentadienylium,[CH2CHC(CHCHCHCH)]+,g,,1076.9,1059.5,3.7,kJ/mol,91.1299 ±0.0056,146893-89-2*0
Formic acid,HC(O)OH,"aq, 4 H2O",,,-425.33,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*807
Bromoform,CHBr3,l,,,8.78,0.71,kJ/mol,252.7306 ±0.0031,75-25-2*590
Fulvenone cation,[OCC(CHCHCHCH)]+,g,,913.5,903.3,1.9,kJ/mol,92.0948 ±0.0048,884319-80-6*0
Hydrogen chloride,HCl,"aq, 400 H2O",,,-166.336,0.023,kJ/mol,36.46064 ±0.00090,7647-01-0*832
Acetic acid,CH3C(O)OH,"aq, 6 H2O",,,-483.28,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*811
Hydrogen fluoride,HF,"aq, 35 H2O",,,-321.91,0.11,kJ/mol,20.006343 ±0.000070,7664-39-3*904
1-Methoxyethenol,CH2C(OH)OCH3,g,,-284.2,-302.7,1.1,kJ/mol,74.0785 ±0.0025,4453-91-2*0
Silicon atom tetracation,[Si]+4,g,,10401.08,10404.06,0.56,kJ/mol,28.08331 ±0.00030,22537-24-2*0
Silicon anion,Si-,g,,316.26,319.24,0.56,kJ/mol,28.08605 ±0.00030,14337-02-1*0
Propane,CH3CH2CH3,"cr,l",,-110.19,-121.17,0.66,kJ/mol,44.0956 ±0.0025,74-98-6*500
Acetic acid,CH3C(O)OH,"aq, 7 H2O",,,-483.35,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*812
Disilicon anion,[Si2]-,g,,375.1,379.0,1.7,kJ/mol,56.17155 ±0.00060,64236-73-3*0
Acetic acid,CH3C(O)OH,"aq, 8 H2O",,,-483.43,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*813
2-Aziridinyl,NH(CHCH2),g,,361.0,349.5,1.7,kJ/mol,42.0599 ±0.0016,*23838-09-7*0
2-Aziridinylium,[NH(CHCH2)]+,g,,1010.9,998.9,3.3,kJ/mol,42.0594 ±0.0016,*91127-35-4*0
Vinylcyclopentadienylium,[CH2CHC(CHCHCHCH)]+,"g, triplet",,1099.4,1081.5,4.5,kJ/mol,91.1299 ±0.0056,146893-89-2*1
Formic acid,HC(O)OH,"aq, 5 H2O",,,-425.27,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*809
Carbon,C,"g, quintuplet",,1114.947,1120.094,0.039,kJ/mol,12.01070 ±0.00080,7440-44-0*3
Tetraoxidanyl,HOOOO,g,,2.1,0.4,2.9,kJ/mol,65.0055 ±0.0012,69696-93-1*0
Hydrogen iodide,HI,"aq, 100000 H2O",,,-56.778,0.09,kJ/mol,127.912410 ±0.000076,10034-85-2*861
Hydrogen bromide,HBr,"aq, 200 H2O",,,-119.75,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*830
2-Aziridinylium,[NH(CHCH2)]+,"g, triplet",,1305.0,1293.3,4.1,kJ/mol,42.0594 ±0.0016,*91127-35-4*1
Water anion,[H2O]-,g,,-50.1,-53.0,4.3,kJ/mol,18.01583 ±0.00033,12259-30-2*0
Difluoromethane,CH2F2,l,,,-468.91,0.37,kJ/mol,52.02339 ±0.00081,75-10-5*590
Silicon carbide anion,[SiC]-,g,,508.8,513.4,4.3,kJ/mol,40.09675 ±0.00085,86017-99-4*0
Formic acid,HC(O)OH,"aq, 6 H2O",,,-425.23,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*811
Acetic acid,CH3C(O)OH,"aq, 9 H2O",,,-483.51,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*814
Silicon carbide,SiC,"cr,l",,-70.6,-71.6,1.5,kJ/mol,40.09620 ±0.00085,409-21-2*500
2-Aziridinylium,[NH(CHCH2)]+,"g, syn-triplet",,1335.0,1324.0,4.8,kJ/mol,42.0594 ±0.0016,*91127-35-4*11
Hydrogen fluoride,HF,"aq, 37 H2O",,,-321.92,0.11,kJ/mol,20.006343 ±0.000070,7664-39-3*890
Formic acid,HC(O)OH,"aq, 7 H2O",,,-425.2,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*812
Trifluorosilyl anion,[SiF3]-,g,,-1225.8,-1229.1,3.4,kJ/mol,85.08126 ±0.00030,54711-93-2*0
2-Aziridinide,[NH(CHCH2)]-,g,,316.2,304.1,3.4,kJ/mol,42.0604 ±0.0016,111127-93-6*0
2-Aziridinide,[NH(CHCH2)]-,"g, syn",,330.2,318.1,4.0,kJ/mol,42.0604 ±0.0016,111127-93-6*1
Difluorosilylene anion,[SiF2]-,g,,-652.8,-653.1,3.4,kJ/mol,66.08285 ±0.00030,145089-80-1*0
Difluorosilylene,SiF2,g,,-629.1,-630.0,1.3,kJ/mol,66.08231 ±0.00030,13966-66-0*0
Difluorosilylene,SiF2,"g, triplet",,-314.3,-314.9,1.3,kJ/mol,66.08231 ±0.00030,13966-66-0*1
Perchloric acid cation,[HOCl(O)(O)O]+,g,,1190.2,1180.6,3.3,kJ/mol,100.4577 ±0.0015,91712-47-9*0
Hydrogen chloride,HCl,"aq, 3500 H2O",,,-166.752,0.024,kJ/mol,36.46064 ±0.00090,7647-01-0*899
Acetic acid,CH3C(O)OH,"aq, 10 H2O",,,-483.59,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*815
Formic acid,HC(O)OH,"aq, 8 H2O",,,-425.18,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*813
Fluorosilylidyne,SiF,"g, quartet",,297.17,298.39,0.62,kJ/mol,47.08390 ±0.00030,11128-24-8*2
Formic acid,HC(O)OH,"aq, 9 H2O",,,-425.17,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*814
Dibromomethane,CH2Br2,l,,,-31.43,0.61,kJ/mol,173.8346 ±0.0022,74-95-3*590
Acetic acid,CH3C(O)OH,"aq, 12 H2O",,,-483.74,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*816
Formic acid,HC(O)OH,"aq, 10 H2O",,,-425.16,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*815
Hydrogen iodide,HI,"aq, 5 H2O",,,-47.72,0.32,kJ/mol,127.912410 ±0.000076,10034-85-2*809
Hydrogen fluoride,HF,"aq, 900 H2O",,,-322.65,0.11,kJ/mol,20.006343 ±0.000070,7664-39-3*838
Hydrogen bromide,HBr,"aq, 700 H2O",,,-120.04,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*835
